City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Rincon,US,2021-04-04 02:35:06,32.296,-81.2354,48.2,71,1,3.74,clear sky
215,Awjilah,LY,2021-04-04 02:35:27,29.1081,21.2869,65.62,19,41,11.81,scattered clouds
216,Madoc,CA,2021-04-04 02:35:27,44.5084,-77.4745,39.2,87,40,8.05,scattered clouds
217,Tuktoyaktuk,CA,2021-04-04 02:35:27,69.4541,-133.0374,-11.2,77,20,6.91,few clouds
218,Geilo,NO,2021-04-04 02:35:28,60.5333,8.2076,27.0,18,97,37.0,overcast clouds
219,Guanica,PR,2021-04-04 02:35:28,17.9716,-66.908,75.0,84,100,1.01,overcast clouds
220,Barrow,US,2021-04-04 02:35:02,71.2906,-156.7887,-9.4,70,1,5.75,clear sky
221,Aktau,KZ,2021-04-04 02:35:28,43.65,51.2,44.6,93,0,4.47,clear sky
222,Bronnoysund,NO,2021-04-04 02:35:29,65.4625,12.1997,41.0,93,90,23.02,overcast clouds
223,Manono,CD,2021-04-04 02:35:29,-7.3,27.4167,68.68,93,96,2.82,overcast clouds
224,Mahon,ES,2021-04-04 02:35:29,39.8885,4.2658,55.4,71,0,14.97,clear sky
225,Zgierz,PL,2021-04-04 02:35:30,51.8556,19.4062,33.01,93,0,3.44,clear sky
226,Saint-Augustin,CA,2021-04-04 02:35:30,51.226,-58.6502,33.8,99,100,8.3,overcast clouds
227,Poso,ID,2021-04-04 02:35:31,-1.3959,120.7524,88.05,61,34,5.03,scattered clouds
228,Ulaangom,MN,2021-04-04 02:35:31,49.9811,92.0667,37.0,34,0,4.03,clear sky
229,Castelo Do Piaui,BR,2021-04-04 02:35:31,-5.3222,-41.5525,72.79,78,38,2.73,scattered clouds
230,Kaspiyskiy,RU,2021-04-04 02:35:32,45.3929,47.3707,50.34,75,97,14.61,overcast clouds
231,Caravelas,BR,2021-04-04 02:35:32,-17.7125,-39.2481,76.23,82,100,4.79,overcast clouds
232,Pooler,US,2021-04-04 02:35:32,32.1155,-81.2471,48.2,71,1,3.02,clear sky
233,Luderitz,NA,2021-04-04 02:35:33,-26.6481,15.1594,69.26,54,5,13.98,clear sky
234,Punta Cardon,VE,2021-04-04 02:35:33,11.6581,-70.215,78.01,81,96,26.26,overcast clouds
235,Angoche,MZ,2021-04-04 02:35:33,-16.2325,39.9086,75.87,87,36,5.17,scattered clouds
236,Staraya Toropa,RU,2021-04-04 02:35:34,56.2801,31.6702,30.72,90,100,4.54,overcast clouds
237,Kysyl-Syr,RU,2021-04-04 02:35:34,63.8986,122.7617,3.25,82,97,3.38,overcast clouds
238,Labuhan,ID,2021-04-04 02:32:19,-6.8844,112.2051,86.74,66,87,7.58,overcast clouds
239,Clyde River,CA,2021-04-04 02:35:34,70.4692,-68.5914,-13.0,84,1,10.36,clear sky
240,Ucluelet,CA,2021-04-04 02:34:23,48.9329,-125.5528,45.0,87,75,14.97,broken clouds
241,Alexandria,EG,2021-04-04 02:35:35,31.2156,29.9553,51.8,93,0,3.44,clear sky
242,Areka,ET,2021-04-04 02:35:35,7.0667,37.7,60.67,60,84,2.84,broken clouds
243,Tingi,TZ,2021-04-04 02:35:36,-11.3,35.0333,61.3,95,99,3.36,overcast clouds
244,Kodiak,US,2021-04-04 02:31:21,57.79,-152.4072,48.2,49,40,10.36,scattered clouds
245,Majur,RS,2021-04-04 02:35:36,44.7697,19.6544,39.99,75,100,9.06,overcast clouds
246,Narsaq,GL,2021-04-04 02:35:36,60.9167,-46.05,37.4,93,90,1.14,drizzle
247,Georgetown,MY,2021-04-04 02:31:51,5.4112,100.3354,84.0,89,40,1.14,scattered clouds
248,Margate,GB,2021-04-04 02:35:37,51.3813,1.3862,42.01,71,100,1.99,overcast clouds
249,Saldanha,ZA,2021-04-04 02:35:37,-33.0117,17.9442,64.4,88,0,8.05,clear sky
250,Ercis,TR,2021-04-04 02:35:37,39.0287,43.3586,37.4,60,20,3.44,few clouds
251,Fengzhen,CN,2021-04-04 02:35:38,40.4394,113.1536,44.11,15,94,4.41,overcast clouds
252,Rapid Valley,US,2021-04-04 02:35:38,44.0625,-103.1463,62.6,28,1,11.5,clear sky
253,Tazovskiy,RU,2021-04-04 02:31:09,67.4667,78.7,26.87,95,100,7.83,overcast clouds
254,Mount Isa,AU,2021-04-04 02:35:39,-20.7333,139.5,84.2,32,0,12.66,clear sky
255,Kuremaa,EE,2021-04-04 02:35:39,58.7353,26.5383,30.99,93,34,10.36,scattered clouds
256,Westport,US,2021-04-04 02:33:55,41.1415,-73.3579,42.8,56,1,5.75,clear sky
257,Faya,SA,2021-04-04 02:35:40,18.3851,42.4509,60.8,77,0,4.61,clear sky
